repeat,noise_fraction,protocol,eigen_index,eigenvalue,retained_90
5,0.15,independent,10,348.9621952918027,8
6,0.0,deterministic,1,283.44385925055724,3
6,0.0,deterministic,2,65.38513262144828,3
6,0.0,deterministic,3,47.360940738198025,3
6,0.0,deterministic,4,25.95401359971099,3
6,0.0,deterministic,5,0.9096115702694202,3
6,0.0,deterministic,6,0.6758442547059523,3
6,0.0,deterministic,7,0.5734595496471202,3
6,0.0,deterministic,8,0.5015067791601387,3
6,0.0,deterministic,9,0.4328703188065747,3
6,0.0,deterministic,10,0.3654296796856864,3
6,0.05,CRN,1,247.79219790741584,4
6,0.05,CRN,2,66.83478646721048,4
6,0.05,CRN,3,50.18443461607494,4
6,0.05,CRN,4,44.96915220378015,4
6,0.05,CRN,5,0.8422331639742942,4
6,0.05,CRN,6,0.5867450000261083,4
6,0.05,CRN,7,0.45110287113315123,4
6,0.05,CRN,8,0.3715575398397278,4
6,0.05,CRN,9,0.35178729698001304,4
6,0.05,CRN,10,0.2523117507924921,4
6,0.05,independent,1,352.2949317289902,8
6,0.05,independent,2,179.5564746290108,8
6,0.05,independent,3,161.77213734704574,8
6,0.05,independent,4,127.88365635238101,8
6,0.05,independent,5,126.08950777760602,8
6,0.05,independent,6,111.36162584637185,8
6,0.05,independent,7,77.46380627344146,8
6,0.05,independent,8,67.23425498388039,8
6,0.05,independent,9,52.70093342027064,8
6,0.05,independent,10,39.49461898870469,8
6,0.15,CRN,1,255.5874948214306,3
6,0.15,CRN,2,60.63111749734946,3
6,0.15,CRN,3,54.24361988916348,3
6,0.15,CRN,4,34.97299417514808,3
6,0.15,CRN,5,0.8272879072459558,3
6,0.15,CRN,6,0.5760951424154492,3
6,0.15,CRN,7,0.4872340597250402,3
6,0.15,CRN,8,0.3767793649249067,3
6,0.15,CRN,9,0.31751673568142336,3
6,0.15,CRN,10,0.252468419149574,3
6,0.15,independent,1,3295.54244035266,8
6,0.15,independent,2,1984.9987254795515,8
6,0.15,independent,3,1650.05594829792,8
6,0.15,independent,4,953.1993313851482,8
6,0.15,independent,5,806.9395283694215,8
6,0.15,independent,6,673.8129198307685,8
6,0.15,independent,7,512.6179271240858,8
6,0.15,independent,8,475.8207948915838,8
6,0.15,independent,9,437.3238071853789,8
6,0.15,independent,10,412.82745151721406,8
7,0.0,deterministic,1,267.3593536363658,3
7,0.0,deterministic,2,67.97523588367787,3
7,0.0,deterministic,3,48.54466329477011,3
7,0.0,deterministic,4,35.61723475374397,3
7,0.0,deterministic,5,0.9379723563919917,3
7,0.0,deterministic,6,0.5106794015691016,3
7,0.0,deterministic,7,0.49542419010378924,3
7,0.0,deterministic,8,0.41338974307131493,3
7,0.0,deterministic,9,0.3684514405938813,3
7,0.0,deterministic,10,0.28032773648917086,3
7,0.05,CRN,1,255.58749482143065,3
7,0.05,CRN,2,60.631117497349386,3
7,0.05,CRN,3,54.243619889163476,3
7,0.05,CRN,4,34.972994175148045,3
7,0.05,CRN,5,0.8272879072459487,3
7,0.05,CRN,6,0.5760951424154482,3
7,0.05,CRN,7,0.48723405972503725,3
7,0.05,CRN,8,0.3767793649248954,3
7,0.05,CRN,9,0.31751673568142236,3
7,0.05,CRN,10,0.25246841914957424,3
7,0.05,independent,1,400.50899028190776,7
7,0.05,independent,2,366.81749501220366,7
7,0.05,independent,3,242.49376332482035,7
7,0.05,independent,4,168.64113707945958,7
7,0.05,independent,5,139.81536135426714,7
7,0.05,independent,6,90.25291322563177,7
7,0.05,independent,7,57.9446109449174,7
7,0.05,independent,8,53.296786737592335,7
7,0.05,independent,9,49.12444569511822,7
7,0.05,independent,10,46.43945425497068,7
7,0.15,CRN,1,251.93368103271814,4
7,0.15,CRN,2,67.74013135554468,4
7,0.15,CRN,3,50.42229341798227,4
